feature,source,feature_type,data_type,description
asin,product_database,categorical_nominal,string,"Amazon Standard Identification Number, a unique code for products"
product_name,product_database,text,string,The name of the product
brand,product_database,categorical_nominal,string,The brand of the product
category,product_database,categorical_nominal,string,The category under which the product is listed
est_monthly_revenue,product_database,continuous,float,Estimated monthly revenue generated by the product
est_monthly_sales,product_database,continuous,integer,Estimated monthly sales volume of the product
price,product_database,continuous,float,Price of the product
fees,product_database,continuous,float,Amazon fees associated with the product
net,product_database,continuous,float,Net revenue after deducting fees
rank,product_database,ordinal,integer,Product's rank in its category
reviews,product_database,continuous,integer,Number of customer reviews for the product
lqs,product_database,continuous,integer,"Listing Quality Score, a measure of listing's quality"
sellers,product_database,continuous,integer,Number of sellers offering the product
date_first_available,product_database,temporal,date,Date when the product was first available on Amazon
buy_box_owner,product_database,categorical_nominal,string,Seller who owns the Buy Box
rating,product_database,continuous,float,Average customer rating of the product
dimensions,product_database,text,string,Product dimensions
product_tier,product_database,categorical_ordinal,string,Amazon's classification based on size and weight
weight,product_database,continuous,float,Weight of the product
opportunity,opportunity_finder,categorical_nominal,string,Identified opportunity based on niche analysis
dominant_category,opportunity_finder,categorical_nominal,string,The dominant category within the niche
niche_score,opportunity_finder,continuous,integer,Score indicating the overall potential of the niche
units_sold_monthly_avg,opportunity_finder,continuous,integer,Average monthly units sold within the niche
price_monthly_avg,opportunity_finder,continuous,float,Average monthly price within the niche
search_volume_monthly_total,opportunity_finder,continuous,integer,Total monthly search volume for keywords related to the niche
search_trend_30_day,opportunity_finder,continuous,integer,Search volume trend over the last 30 days
search_trend_90_day,opportunity_finder,continuous,integer,Search volume trend over the last 90 days
competition,opportunity_finder,ordinal,integer,Level of competition within the niche
seasonality,opportunity_finder,categorical_ordinal,string,Seasonal demand variation for products within the niche
seasonality_peak_month,opportunity_finder,categorical_ordinal,string,Month with the highest demand within the niche
last_updated,opportunity_finder,temporal,date,The last date when the niche data was updated
