Opportunity,Dominant Category,Niche Score,Units Sold - Monthly Avg,Price - Monthly Avg,Search Volume - Monthly Total,Search Trend - 30-Day,Search Trend - 90-Day,Competition,Seasonality,Seasonality - Peak Month,Last Updated
"kids cubs shirt","Sports & Outdoors","9","817","$23.34","450","0%","0%","Very Low","Low","No Peak Month","Feb 05, 2024"
"ck perfume","Beauty & Personal Care","9","778","$45.89","662","-22%","7%","Very Low","Very Low","No Peak Month","Feb 04, 2024"
"wet n wild eyebrow kit","Beauty & Personal Care","9","2,367","$11.56","450","11%","-4%","Very Low","Low","No Peak Month","Feb 06, 2024"
"shred paper for gift baskets","Health & Household","9","1,493","$21.79","450","0%","64%","Very Low","Low","No Peak Month","Feb 11, 2024"
"thyme oil capsules","Health & Household","9","1,822","$29.77","765","14%","-9%","Very Low","Low","No Peak Month","Feb 11, 2024"
"selsun blue naturals shampoo","Beauty & Personal Care","9","2,515","$27.38","1,138","20%","31%","Very Low","Very Low","No Peak Month","Feb 13, 2024"
"escada magnetism perfume for women","Beauty & Personal Care","9","1,626","$20.19","1,264","-8%","37%","Very Low","Very Low","No Peak Month","Feb 17, 2024"
"fever tree aromatic tonic water","Grocery & Gourmet Food","9","760","$38.66","450","0%","13%","Very Low","Very Low","No Peak Month","Nov 22, 2023"
"framing game","Toys & Games","9","1,847","$23.71","450","0%","13%","Very Low","Very Low","No Peak Month","Nov 22, 2023"
"eclat perfume for women","Beauty & Personal Care","9","1,495","$24.69","450","0%","-23%","Very Low","Very Low","No Peak Month","Feb 04, 2024"
"means girls","Clothing, Shoes & Jewelry","9","1,547","$19.63","450","0%","0%","Very Low","Low","No Peak Month","Feb 17, 2024"
"body count t shirt","Clothing, Shoes & Jewelry","9","836","$24.64","450","0%","13%","Very Low","Low","No Peak Month","Nov 21, 2023"
"supernatural bluray","Home & Kitchen","9","1,562","$20.17","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 06, 2024"
"deep throating numb","Health & Household","9","795","$16.09","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 04, 2024"
"commodity","Beauty & Personal Care","9","864","$71.40","696","-5%","0%","Very Low","Low","No Peak Month","Feb 16, 2024"
"automatic air freshener dispenser","Health & Household","9","2,751","$27.44","1,094","10%","-33%","Very Low","Very Low","No Peak Month","Feb 16, 2024"
"canonet ql17 giii","Electronics","9","2,416","$111.98","450","0%","13%","Very Low","Low","No Peak Month","Nov 21, 2023"
"dylan","Clothing, Shoes & Jewelry","9","829","$24.14","2,963","6%","31%","Very Low","Very Low","No Peak Month","Feb 08, 2024"
"madonna tshirt","Clothing, Shoes & Jewelry","9","767","$17.19","21,187","83%","233%","Very Low","Very Low","No Peak Month","Feb 12, 2024"
"hello kitty bandaid","Health & Household","9","2,499","$10.06","584","17%","-1%","Very Low","Very Low","No Peak Month","Feb 04, 2024"
"secret deodorant spray","Beauty & Personal Care","9","2,736","$16.01","1,954","24%","-53%","Very Low","Very Low","No Peak Month","Feb 15, 2024"
"unparalleled","Tools & Home Improvement","9","1,486","$75.96","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 14, 2024"
"skittles wild berry","Grocery & Gourmet Food","9","2,671","$17.12","2,510","6%","39%","Low","Very Low","No Peak Month","Feb 17, 2024"
"ferrari water bottle","Sports & Outdoors","9","849","$28.92","450","0%","13%","Very Low","Very Low","No Peak Month","Nov 22, 2023"
"jonaxel","Home & Kitchen","9","1,959","$77.67","450","0%","0%","Very Low","Low","No Peak Month","Feb 05, 2024"
"white mylar balloons","Toys & Games","9","1,892","$9.19","494","44%","-3%","Very Low","Low","No Peak Month","Feb 06, 2024"
"army wife shirt","Clothing, Shoes & Jewelry","9","1,496","$18.36","591","0%","-30%","Very Low","Low","No Peak Month","Feb 04, 2024"
"purina nf","Pet Supplies","9","811","$50.40","450","0%","0%","Very Low","Low","No Peak Month","Feb 05, 2024"
"circle water bottle","Sports & Outdoors","9","783","$35.82","31,614","112%","62%","Very Low","Low","No Peak Month","Feb 17, 2024"
"ground sausage","Grocery & Gourmet Food","9","921","$31.82","13,436","-27%","49%","Very Low","Very Low","No Peak Month","Feb 17, 2024"
"somnifix mouth tape","Health & Household","9","2,415","$16.73","2,036","33%","22%","Very Low","Very Low","No Peak Month","Feb 16, 2024"
"womens phillies hat","Sports & Outdoors","9","1,333","$33.03","539","0%","0%","Very Low","Very Low","No Peak Month","Feb 13, 2024"
"philz coffee","Grocery & Gourmet Food","9","1,665","$19.16","4,757","-17%","131%","Very Low","Low","No Peak Month","Feb 15, 2024"
"peroni","Kitchen & Dining","9","1,655","$36.33","692","5%","11%","Very Low","Very Low","No Peak Month","Feb 05, 2024"
"dr pedre happy gut","Health & Household","9","789","$25.88","450","0%","13%","Very Low","Very Low","No Peak Month","Nov 21, 2023"
"keebler animal crackers","Grocery & Gourmet Food","9","2,398","$17.99","891","46%","-20%","Very Low","Very Low","No Peak Month","Feb 05, 2024"
"womens floral maxi dress","Clothing, Shoes & Jewelry","9","1,843","$44.89","3,500","69%","-2%","Very Low","Low","No Peak Month","Feb 16, 2024"
"ar castle nut","Tools & Home Improvement","9","777","$15.77","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 16, 2024"
"hotel grand pillow","Home & Kitchen","9","2,872","$50.85","764","6%","-17%","Very Low","Low","No Peak Month","Feb 13, 2024"
"new england coffee k cups","Grocery & Gourmet Food","9","882","$28.97","2,787","9%","24%","Very Low","Low","No Peak Month","Feb 16, 2024"
"glass smoking bowls for weed","Kitchen & Dining","9","869","$15.65","450","0%","0%","Very Low","Low","No Peak Month","Feb 17, 2024"
"live long and evolve","Beauty & Personal Care","9","1,612","$55.45","450","0%","0%","Very Low","Very Low","No Peak Month","Jan 28, 2024"
"wella koleston perfect 66/0","Beauty & Personal Care","9","2,184","$11.64","667","0%","-21%","Low","Very Low","No Peak Month","Feb 06, 2024"
"windsheild repair kit","Automotive","9","2,741","$12.49","450","0%","0%","Very Low","Low","No Peak Month","Feb 16, 2024"
"off white key chain","Office Products","9","1,730","$10.94","1,311","-38%","-53%","Very Low","Low","No Peak Month","Feb 15, 2024"
"cafe curtain clips","Home & Kitchen","9","2,187","$13.10","1,569","36%","10%","Very Low","Low","No Peak Month","Feb 15, 2024"
"airfit f20 cushion","Health & Household","9","1,438","$40.50","450","9%","-1%","Very Low","Very Low","No Peak Month","Feb 16, 2024"
"mushroom leggings","Clothing, Shoes & Jewelry","9","2,665","$21.81","680","0%","-28%","Very Low","Very Low","No Peak Month","Feb 05, 2024"
"secret deodorant for women spray","Beauty & Personal Care","9","2,553","$15.31","3,875","23%","-5%","Very Low","Very Low","No Peak Month","Feb 14, 2024"
"adore pink","Beauty & Personal Care","9","2,308","$15.07","605","0%","-15%","Very Low","Low","No Peak Month","Feb 16, 2024"
"couch sofa bed","Home & Kitchen","9","1,711","$469.03","2,711","21%","26%","Very Low","Very Low","No Peak Month","Feb 17, 2024"
"creosote logs for fireplace","Home & Kitchen","9","1,467","$76.09","450","0%","13%","Very Low","Low","No Peak Month","Nov 21, 2023"
"brusheez","Health & Household","9","2,656","$23.92","1,376","-6%","5%","Very Low","Low","No Peak Month","Feb 17, 2024"
"bedgear sheets","Home & Kitchen","9","1,764","$147.10","831","0%","-17%","Very Low","Low","No Peak Month","Feb 17, 2024"
"brownie mix betty crocker","Grocery & Gourmet Food","9","1,599","$11.89","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 04, 2024"
"blinds for windows wood","Home & Kitchen","9","1,654","$36.23","450","0%","0%","Very Low","Low","No Peak Month","Feb 04, 2024"
"feiyue sneakers","Clothing, Shoes & Jewelry","9","1,293","$30.78","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 04, 2024"
"mr clean pet floor cleaner","Health & Household","9","1,339","$20.19","1,043","7%","-6%","Very Low","Very Low","No Peak Month","Feb 15, 2024"
"bobi robotic vacuum","Home & Kitchen","9","1,782","$126.77","450","0%","13%","Very Low","Very Low","No Peak Month","Nov 21, 2023"
"la colors high shine shea butter lip gloss","Beauty & Personal Care","9","2,470","$4.21","450","0%","0%","Low","Low","No Peak Month","Feb 05, 2024"
"taylor swift","Kitchen & Dining","9","1,423","$11.32","1,314,616","347%","11%","Very Low","Very Low","No Peak Month","Feb 14, 2024"
"babybjorn bouncers","Baby","9","1,518","$197.72","7,983","20%","3%","Very Low","Very Low","No Peak Month","Feb 16, 2024"
"sodastream canister","Home & Kitchen","9","2,190","$76.74","450","0%","-5%","Very Low","Low","No Peak Month","Feb 11, 2024"
"ibc root beer","Grocery & Gourmet Food","9","1,205","$33.11","1,223","-18%","-6%","Very Low","Low","No Peak Month","Feb 17, 2024"
"hug mees squishmallow","Toys & Games","9","1,283","$20.36","3,426","-10%","104%","Very Low","Low","No Peak Month","Feb 17, 2024"
"xyience energy","Grocery & Gourmet Food","9","2,358","$38.28","450","0%","-41%","Low","Low","No Peak Month","Feb 17, 2024"
"off the shoulder body suit","Clothing, Shoes & Jewelry","9","1,320","$26.21","1,353","-17%","-26%","Very Low","Low","No Peak Month","Feb 05, 2024"
"airwalk shoes men","Clothing, Shoes & Jewelry","9","2,289","$82.57","9,081","-18%","111%","Very Low","Low","No Peak Month","Feb 15, 2024"
"dress with tassels","Clothing, Shoes & Jewelry","9","1,324","$34.77","450","0%","-18%","Very Low","Low","No Peak Month","Feb 04, 2024"
"clek olli","Baby","9","1,797","$167.30","450","0%","0%","Very Low","Low","No Peak Month","Feb 10, 2024"
"brown shredded paper for gift baskets","Health & Household","9","1,324","$20.82","450","0%","-5%","Very Low","Low","No Peak Month","Feb 04, 2024"
"beastm","Kitchen & Dining","9","1,753","$104.36","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 10, 2024"
"contact lens color","Health & Household","9","1,436","$13.38","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 17, 2024"
"prenatal nature made","Health & Household","9","1,309","$37.89","2,477","-1%","0%","Very Low","Very Low","No Peak Month","Feb 17, 2024"
"eau fraiche","Beauty & Personal Care","9","2,443","$45.06","704","2%","11%","Low","Low","No Peak Month","Feb 10, 2024"
"clek booster","Baby","9","2,301","$172.01","450","-5%","-36%","Very Low","Low","No Peak Month","Feb 12, 2024"
"red floral dress","Clothing, Shoes & Jewelry","9","1,650","$41.39","9,364","81%","-12%","Very Low","Low","No Peak Month","Feb 15, 2024"
"bath and body works lemon hand soap","Beauty & Personal Care","9","2,388","$19.52","450","0%","13%","Low","Very Low","No Peak Month","Nov 21, 2023"
"blush nars","Beauty & Personal Care","9","1,492","$25.59","636","11%","7%","Very Low","Low","No Peak Month","Feb 14, 2024"
"water hydrogen","Home & Kitchen","9","2,631","$60.84","898","0%","0%","Very Low","Low","No Peak Month","Feb 16, 2024"
"rip it energy","Grocery & Gourmet Food","9","2,524","$36.03","450","0%","0%","Low","Very Low","No Peak Month","Feb 05, 2024"
"mars","Health & Household","9","2,348","$28.61","33,995","5209%","1603%","Very Low","Low","No Peak Month","Feb 15, 2024"
"my account balance","Clothing, Shoes & Jewelry","9","1,704","$7.31","2,204","-10%","22%","Very Low","Very Low","No Peak Month","Feb 10, 2024"
"cleveland browns baby","Sports & Outdoors","9","1,465","$25.50","450","-62%","-27%","Very Low","Low","No Peak Month","Feb 17, 2024"
"ups hoodies for men","Clothing, Shoes & Jewelry","9","2,177","$27.59","1,115","-42%","22%","Very Low","Low","No Peak Month","Feb 13, 2024"
"sweatband for women","Sports & Outdoors","9","1,689","$12.89","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 16, 2024"
"blizzard rustler 9","Sports & Outdoors","9","1,366","$521.70","418","33%","0%","Very Low","Low","No Peak Month","Feb 04, 2024"
"yellow and white striped shirt","Clothing, Shoes & Jewelry","9","1,407","$22.43","450","0%","0%","Very Low","Low","No Peak Month","Feb 14, 2024"
"mia sneakers women","Clothing, Shoes & Jewelry","9","1,449","$34.98","4,113","-5%","-6%","Very Low","Very Low","No Peak Month","Feb 15, 2024"
"brown colored contacts","Health & Household","9","1,349","$9.79","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 04, 2024"
"dino egg oatmeal","Grocery & Gourmet Food","9","1,283","$19.94","450","0%","0%","Very Low","Low","No Peak Month","Feb 17, 2024"
"dawn lemon","Health & Household","9","2,404","$28.12","450","0%","0%","Low","Low","No Peak Month","Feb 04, 2024"
"dairy free creamer singles","Grocery & Gourmet Food","9","2,582","$22.85","578","-10%","-18%","Very Low","Very Low","No Peak Month","Feb 16, 2024"
"mouth tape for snoring","Health & Household","9","2,297","$15.87","13,304","-5%","5%","Very Low","Low","No Peak Month","Feb 15, 2024"
"selective rabbit food","Pet Supplies","9","1,329","$18.54","401","0%","0%","Very Low","Low","No Peak Month","Feb 05, 2024"
"fletchers castoria laxative for kids","Health & Household","9","1,477","$22.25","416","78%","-29%","Very Low","Low","No Peak Month","Feb 04, 2024"
"puff sleeve","Clothing, Shoes & Jewelry","9","1,305","$22.89","2,714","6%","-37%","Very Low","Low","No Peak Month","Feb 13, 2024"
"shin chan stickers","Computers & Accessories","9","1,329","$9.54","450","0%","0%","Very Low","Low","No Peak Month","Feb 05, 2024"
"shea moisture deodorant","Beauty & Personal Care","9","1,771","$14.91","18,762","0%","0%","Very Low","Very Low","No Peak Month","Feb 13, 2024"
"wella color touch 5/0","Beauty & Personal Care","9","1,597","$13.54","450","0%","0%","Very Low","Very Low","No Peak Month","Feb 06, 2024"
