ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0BZQMYW4B","adidas Unisex-Child Grand Court Tennis Shoe","adidas","Clothing, Shoes & Jewelry","$49,018.50","1,350","$36.31","$11.24","$25.07","29,297","33","5","1","03/06/2010","HAS BRANDS","4.4","8.00"" x 4.00"" x 7.00""","Large standard-size","2.45 lbs"
"B08N7T994S","adidas Unisex-Child Racer Tr21 Running Shoe","adidas","Clothing, Shoes & Jewelry","$46,800.00","780","$60.00","$9.00","$51.00","30,313","10","3","1","11/10/2020","Zappos","4.7","4.17"" x 6.85"" x 10.98""","Standard (Large)","0.9502 lbs"
"B08XLM71NH","adidas Unisex-Child Runfalcon 2.0 Running Shoe","adidas","Clothing, Shoes & Jewelry","$39,000.00","780","$50.00","$7.50","$42.50","4,894","11","3","1","01/28/2021","Zappos","4.6","4.41"" x 7.87"" x 12.76""","Standard (Large)","1.3889 lbs"
"B0BHQ5ZWGW","adidas Women's Avryn Sneaker","adidas","Clothing, Shoes & Jewelry","$42,398.00","986","$43.00","$13.78","$29.22","74,263","43","5","3","08/21/2018","Light Mist","3.9","14.63"" x 10.75"" x 6.00""","Large standard-size","2.45 lbs"
"B08N5CY7GC","adidas Women's Casual Running Shoe  Crew Navy/Iron Metallic/Halo Blush  10","adidas","Clothing, Shoes & Jewelry","$388,149.32","7,247","$53.56","$14.46","$39.10","642,976","16","5","15","05/31/2021","Rainey Street Retail","3.7","12.83"" x 7.83"" x 4.57""","Large standard-size","2.45 lbs"
"B098RJWVF3","adidas Women's Casual Running Shoe  Wonder White/Black/Golden Beige  6","adidas","Clothing, Shoes & Jewelry","$391,687.80","7,518","$52.10","$12.33","$39.77","1,511","28","6","5","02/28/2022","Voadera","4.4","11.54"" x 7.80"" x 4.21""","Large standard-size","15.52 lbs"
"B09Q4QBT27","adidas Women's Cloudfoam Pure 2.0 Running Shoe  Chalk White/Magic Mauve/Alumina  10","adidas","Clothing, Shoes & Jewelry","$420,752.15","7,657","$54.95","$14.67","$40.28","1,511","10","6","6","01/09/2022","Sallvid","4","12.87"" x 7.83"" x 4.49""","Large standard-size","2.45 lbs"
"B09Q4TFSZ2","adidas Women's Cloudfoam Pure 2.0 Running Shoe  Chalk White/Magic Mauve/Alumina  11","adidas","Clothing, Shoes & Jewelry","$407,343.42","7,542","$54.01","$14.53","$39.48","1,495","11","6","13","01/09/2022","Store77llc","3.6","12.95"" x 7.80"" x 4.45""","Large standard-size","2.45 lbs"
"B09Q51BTL4","adidas Women's Cloudfoam Pure 2.0 Running Shoe  Chalk White/Magic Mauve/Alumina  6","adidas","Clothing, Shoes & Jewelry","$415,476.95","7,561","$54.95","$14.03","$40.92","1,511","10","6","11","01/09/2022","Northern_Retail","3.7","11.26"" x 7.64"" x 4.33""","Large standard-size","2.45 lbs"
"B09DXX2BRD","adidas Women's Cloudfoam Pure 2.0 Running Shoe  FTWR White/Bold Green/Vivid Berry  6","adidas","Clothing, Shoes & Jewelry","$542,409.00","6,738","$80.50","$16.60","$63.91","1,388,864","5","6","1","10/27/2021","Hecksdeals","4.7","11.46"" x 7.68"" x 4.29""","Large standard-size","15.2 lbs"
"B09DXWBKW8","adidas Women's Cloudfoam Pure 2.0 Running Shoe  FTWR White/Bold Green/Vivid Berry  7","adidas","Clothing, Shoes & Jewelry","$670,300.00","6,703","$100.00","$19.52","$80.48","1,688,841","8","6","1","10/27/2021","Shoes 2 You","4.4","11.57"" x 7.80"" x 4.41""","Large standard-size","15.52 lbs"
"B09DXVWWDN","adidas Women's Cloudfoam Pure 2.0 Running Shoe  Linen Green/Silver Metallic/Almost Yellow  6","adidas","Clothing, Shoes & Jewelry","$531,070.41","6,621","$80.21","$17.82","$62.39","1,349,507","1","6","1","10/28/2021","Generant Enterprises","5","11.46"" x 7.68"" x 3.90""","Large standard-size","2.45 lbs"
"B09KP2NX8Q","adidas Women's Cloudfoam Pure 2.0 Running Shoe  Shadow Maroon/Gold Metallic/Wonder Oxide  9.5","adidas","Clothing, Shoes & Jewelry","$705,791.12","7,256","$97.27","$21.02","$76.25","1,480","6","6","1","10/28/2021","Amazon.com","4.4","12.64"" x 7.87"" x 4.49""","Large standard-size","1.15 lbs"
"B08N5FVF2Q","adidas Women's Cloudfoam Pure 2.0 Running Shoe  White/White/Black  5","adidas","Clothing, Shoes & Jewelry","$326,275.62","6,882","$47.41","$12.90","$34.51","1,084,688","19","6","12","05/31/2021","Amazon","4.5","11.50"" x 7.64"" x 4.37""","Large standard-size","2.45 lbs"
"B07S25C99T","adidas Women's Crazyflight Volleyball Shoe","adidas","Clothing, Shoes & Jewelry","$175,432.50","1,350","$129.95","$19.49","$110.46","37,340","13","5","1","05/21/2019","Zappos","4.9","1.00"" x 1.00"" x 1.00""","Standard (Large)","1.8497 lbs"
"B08MT4KF78","adidas Women's Essentials Slim Logo Shorts","adidas","Sports & Outdoors","$23,385.60","870","$26.88","$4.57","$22.31","120,962","28","4","2","11/03/2020","Orva Stores","4.7","1.69"" x 8.74"" x 12.48""","Standard (Large)","0.399 lbs"
"B09746H9SC","adidas Women's Grand Court Sneaker","adidas","Clothing, Shoes & Jewelry","$394,576.00","7,280","$54.20","$13.27","$40.93","1,661,288","27","5","2","07/11/2019","Super Store Team","4.7","1.00"" x 1.00"" x 1.00""","Large standard-size","1.9004 lbs"
"B08N67PXMD","adidas Women's Racer TR21 Running Shoe","adidas","Clothing, Shoes & Jewelry","$79,670.00","1,550","$51.40","$13.50","$37.90","24,101","15","5","5","08/21/2018","ShoesontheWeb","4.5","12.00"" x 5.00"" x 6.00""","Large standard-size","2.4 lbs"
"B0CKJ2RQP1","adidas Women's Techfit Volleyball Shorts","adidas","Clothing, Shoes & Jewelry","$64,555.38","2,154","$29.97","$12.97","$17.00","11,399","2","4","3","10/04/2023","SalesHoard","5","14.63"" x 10.75"" x 6.00""","Large standard-size","2.45 lbs"
"B0CV562JPQ","adidas Women's Ultrabounce Running Shoes","adidas","Clothing, Shoes & Jewelry","$98,104.70","1,510","$64.97","$15.54","$49.43","N.A.","11","5","1","02/06/2024","H&H Sellers","3.7","11.61"" x 7.87"" x 4.25""","Large standard-size","1.41 lbs"
"B0BLT6LZBB","adidas Womens Cloudfoam Pure Shadow Olive/Olive Strata/Gold Metallic 9","adidas","Clothing, Shoes & Jewelry","$37,143.58","862","$43.09","$13.19","$29.90","634,206","5","6","4","01/22/2023","Orva Stores","4","13.19"" x 9.06"" x 4.88""","Large standard-size","1.43 lbs"
"B0CTXXMYZV","Adidas womens Modern","adidas","Clothing, Shoes & Jewelry","$192,971.55","3,449","$55.95","$14.82","$41.13","N.A.","3.6666666666666665","4","1","02/03/2024","Orva Stores","5","12.52"" x 7.80"" x 4.49""","Large standard-size","1.92 lbs"
"B09YJ7MZDK","adidas Womens Puremotion Running Shoe (7.5  Cloud White/Blue Tint/Acid Red  Numeric_7_Point_5)","adidas","Clothing, Shoes & Jewelry","$121,841.00","1,369","$89.00","$20.08","$68.92","3,582,605","1","5","1","04/20/2022","Elves Working Hard","4","13.20"" x 8.80"" x 5.10""","Large standard-size","1.65 lbs"
"B087BTPPC7","adituo Toddler/Little Kid Boys Girls Lightweight Breathable Sneakers Strap Athletic Runing Walking Sports Shoes","adituo","Clothing, Shoes & Jewelry","$17,242.50","750","$22.99","$3.91","$19.08","9,132","36","6","1","04/19/2020","adituo","4.5","3.30"" x 6.00"" x 8.10""","Standard (Large)","0.2006 lbs"
"B08MWVZMKC","Adjust-A-Lift Heel 2 Set - Warwick Enterprises Medium  2 Set Medium","Adjust-A-Lift Heel","Health & Household","$33,342.84","1,506","$22.14","$6.86","$15.28","N.A.","18","3","16","06/12/2022","Fill_Your_Cart28","4.2","4.61"" x 2.68"" x 0.83""","Large standard-size","2.4 lbs"
"B0CJRPBQPF","Adjustable Guards Combs & Nose Trimmer Replacement Heads Compatible with One Blade Trimmer Attachments Size from 0.4 to 10 mm for Philips Norelco OneBlade Shaver QP2520 QP2630 QP2724 QP2834","Masinvi","Beauty & Personal Care","$17,733.15","785","$22.59","$6.93","$15.66","N.A.","22","6","1","10/13/2023","Masinvi","3.8","3.74"" x 3.74"" x 1.57""","Large standard-size","1.94 lbs"
"B08LD98VSN","ADOME Nightgowns for Women Cotton Night Shirts Short Sleeves Sleepshirt Loose Nightwear Night Gown Dresses for Sleeping","ADOME","Clothing, Shoes & Jewelry","$46,782.00","1,800","$25.99","$4.42","$21.57","200,581","43","6","1","10/18/2020","spicybra","4.7","0.79"" x 0.79"" x 0.39""","Standard (Small)","0.5093 lbs"
"B077J7MHH1","Adore Semi-Permanent Haircolor #046 Spiced Amber 4 Ounce (118ml) (6 Pack)","ADORE COSMETICS","Beauty & Personal Care","$722,007.00","22,950","$31.46","$9.86","$21.60","456","1","5","4","10/19/2018","Amazon","4","5.63"" x 5.35"" x 3.31""","Large standard-size","1.9 lbs"
"B077J6B3DJ","Adore Semi-Permanent Haircolor #083 Fiesta Fuchsia 4 Ounce (118ml) (6 Pack)","ADORE COSMETICS","Beauty & Personal Care","$642,370.50","22,950","$27.99","$9.34","$18.65","456","2","5","4","10/19/2018","Amazon","5","7.64"" x 7.56"" x 3.11""","Large standard-size","1.9 lbs"
"B077J5WYY3","Adore Semi-Permanent Haircolor #118 Off Black 4 Ounce (118ml) (6 Pack)","ADORE COSMETICS","Beauty & Personal Care","$604,503.00","22,950","$26.34","$9.09","$17.25","456","1","5","7","10/19/2018","Cultivated Capital","1","8.19"" x 6.57"" x 3.11""","Large standard-size","1.9 lbs"
"B084WRP2SZ","Adore Semi-Permanent Haircolor #161 Cosmic Yellow 4 Ounce (118ml) (Pack of 6)","ADORE COSMETICS","Beauty & Personal Care","$681,385.50","22,950","$29.69","$9.59","$20.10","456","3","4","4","03/14/2019","Amazon","5","7.17"" x 6.18"" x 3.23""","Large standard-size","1.96 lbs"
"B084WGDB21","Adore Semi-Permanent Haircolor #174 Sapphire Blue 4 Ounce (118ml) (Pack of 6)","ADORE COSMETICS","Beauty & Personal Care","$132,714.30","4,470","$29.69","$7.99","$21.70","4,251","3","4","3","03/14/2019","Amazing Pride","5","5.16"" x 1.54"" x 1.54""","Large standard-size","5.11 lbs"
"B077J7CTYM","Adore Semi-Permanent Haircolor #195 Jade 4 Ounce (118ml) (6 Pack)","ADORE COSMETICS","Beauty & Personal Care","$710,761.50","22,950","$30.97","$9.79","$21.18","456","1","5","4","10/19/2018","Pharmapacks_","5","7.00"" x 6.00"" x 6.00""","Large standard-size","1.92 lbs"
"B077J3NTMS","Adore Semi-Permanent Haircolor #196 Sky Blue 4 Ounce (118ml) (6 Pack)","ADORE COSMETICS","Beauty & Personal Care","$589,585.50","22,950","$25.69","$8.99","$16.70","456","2","5","2","10/19/2018","Amazon","4.5","5.39"" x 4.53"" x 4.09""","Large standard-size","1.9 lbs"
"B084WQXHPH","Adore Semi-Permanent Haircolor #199 Luxe Blue 4 Ounce (118ml) (Pack of 6)","ADORE COSMETICS","Beauty & Personal Care","$655,452.00","22,950","$28.56","$9.42","$19.14","456","5","4","2","10/19/2018","Amazon","4.8","9.20"" x 6.00"" x 2.00""","Large standard-size","1.65 lbs"
"B083QDFFBD","Adreamly Women's One Piece Tummy Control V Neck Backness Swimsuits Bathing Suit Swimwear Beachwear","Adreamly","Clothing, Shoes & Jewelry","$24,079.05","1,095","$21.99","$3.74","$18.25","9,658","36","6","2","01/09/2020","ADREAMLY CLOTHING CO.","4.4","1.69"" x 7.60"" x 11.06""","Standard (Large)","0.3285 lbs"
"B0CRDNWPS8","Adult 50+ Eye Vitamin & Mineral，with Lutein  Zeaxanthin  Omega-3  zinc  Copper  Vitamin C and Vitamin E. 150 Softgels (1 Pack)","NBHMUY","Health & Household","$84,207.70","1,846","$45.46","$8.56","$36.90","N.A.","6","6","5","12/20/2023","Sowist","3.85","3.00"" x 3.00"" x 3.00""","Large standard-size","6.38 lbs"
"B0CJBWRFXN","Adult Diaper Cover for Incontinence Noiseless Leak-Protection Underwear Plastic Pants Alternatives -Waterproof Durable  Lightweight (Medium  Beige)","EEOST","Health & Household","$20,828.94","906","$22.99","$6.99","$16.00","27,836","33.333333333333336","7","1","09/18/2023","EEOST","3.9","9.13"" x 7.76"" x 1.61""","Large standard-size","2.89 lbs"
"B08LSBQ25Z","Adult Face Mask with Filter Pocket  Adjustable Breathable Washable Hepa Cover  Gift for Women Mens","Gyothrig","Clothing, Shoes & Jewelry","$18,234.37","833","$21.89","$3.72","$18.17","57,228","30","6","2","10/23/2020","WANYAY","4.8","10.00"" x 6.00"" x 0.10""","Standard (Small)","0.2 lbs"
"B0C3HCGWS1","Advanced Calming Hemp Treats for Dogs - Hemp Oil + Melatonin - Anxiety Relief - Separation Aid - Stress Relief During Fireworks  Storms  Thunder - Aggressive Behavior  Barking - 240 Chews (2pack)","BARK&SPARK","Pet Supplies","$137,789.12","3,836","$35.92","$10.53","$25.39","2,429","1","7","1","09/05/2022","BARK&SPARK LLC","1","7.36"" x 5.94"" x 3.74""","Large standard-size","1.37 lbs"
"B0BW4W1P1Q","Advanced Clinicals Tea Tree Oil Serum For Face + Vitamin C Serum + Exfoliating 10% Glycolic Acid Serum Skincare Set | Face Serum For Women | Anti Aging Serums To Brighten  Exfoliate  & Hydrate  3-Set","Advanced Clinicals","Beauty & Personal Care","$80,943.01","2,699","$29.99","$9.02","$20.97","7,139","29","8","4","04/21/2023","Amazon","4.3","9.92"" x 7.36"" x 3.07""","Large standard-size","15.2 lbs"
"B0CV67ZVZD","Advanced Restore Nasal Breathing - Improves Airflow - Comfortable Nose Breathing  Breathing Aids for Better Sleep - Pain Free Removal and Hypoallergenic (120 PCS)","Generic","Health & Household","$43,544.11","1,589","$27.49","$7.42","$20.07","N.A.","24.5","6","1","01/15/2024","Aurulentus store","5","4.92"" x 3.54"" x 0.47""","Small standard-size","1.76 lbs"
"B0789S8139","Advantus Panel Wall Wire Hooks  Silver  25 Hooks per Pack  Sold as 4 Pack (75370)","Advantus","Office Products","$35,517.90","1,410","$25.19","$7.55","$17.64","5,704","6","5","7","12/14/2017","BestSource OfficeSupplies","4.4","8.78"" x 5.51"" x 2.32""","Large standard-size","6.72 lbs"
