ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0BC2DWLZ6","ALL-IN-ONE Paint  Sunrise (Orange Coral)  32 Fl Oz Quart. Durable cabinet and furniture paint. Built in primer and top coat  no sanding needed.","Heirloom Traditions Paint","Tools & Home Improvement","$259,631.86","7,214","$35.99","$11.19","$24.80","219,248","5","5","2","08/25/2022","Amazon","4.3","4.25"" x 4.25"" x 4.75""","Large standard-size","2.6 lbs"
"B0BC2H8FDH","ALL-IN-ONE Paint  Tapestry (Khaki Brown)  32 Fl Oz Quart. Durable cabinet and furniture paint. Built in primer and top coat  no sanding needed.","Heirloom Traditions Paint","Tools & Home Improvement","$276,979.04","7,696","$35.99","$11.19","$24.80","90,493","9","5","2","08/25/2022","Amazon Warehouse","4.1","4.25"" x 4.25"" x 4.75""","Large standard-size","2.6 lbs"
"B0C1KNZC97","ALL-IN-ONE Paint  Thistle (Gray Purple)  32 Fl Oz Quart. Durable cabinet and furniture paint. Built in primer and top coat  no sanding needed.","Heirloom Traditions Paint","Tools & Home Improvement","$245,199.87","6,813","$35.99","$11.19","$24.80","198,775","2","5","2","08/25/2022","Heirloom Traditions Paint","5","4.25"" x 4.25"" x 4.75""","Large standard-size","2.5 lbs"
"B0BBXD2JWK","ALL-IN-ONE Paint  Weathervane (Charcoal)  128 Fl Oz Gallon. Durable cabinet and furniture paint. Built in primer and top coat  no sanding needed.","Heirloom Traditions Paint","Tools & Home Improvement","$658,350.00","6,650","$99.00","$23.08","$75.92","181,876","5","5","2","08/24/2022","Amazon","3.6","7.00"" x 7.00"" x 8.00""","Large standard-size","10 lbs"
"B0BM99HVV3","ALL-TOP Kinetic Recovery Tow Rope - Heavy Duty Snatch Rope Offroad Power Stretch Snatch Strap  for SUV  UTV  ATV  Truck  Car Tractor (1inx30ft Rope (Black) + 2pcs Soft Shackle)","ALL-TOP","Automotive","$238,475.44","2,056","$115.99","$22.45","$93.54","1,893","3","7","1","11/13/2022","ALL-TOP","5","17.17"" x 8.03"" x 7.24""","Large standard-size","10.21 lbs"
"B08NVT3X5S","ALLABREVE Women Plus Size Ripped Stretch Skinny Jeans  High Rise Distressed Denim Jegging","ALLABREVE","Clothing, Shoes & Jewelry","$27,711.60","840","$37.99","$5.61","$32.38","14,972","49","6","1","11/18/2020","ALLABREVE","4.2","2.13"" x 11.22"" x 13.50""","Standard (Large)","0.9899 lbs"
"B093V1FGC5","ALLABREVE Women Plus Size Tankini Swimsuit Two Piece Flowy Swimdress Bathing Suits with Shorts","ALLABREVE","Clothing, Shoes & Jewelry","$33,649.80","1,020","$32.99","$5.61","$27.38","467,586","44","6","1","04/29/2021","SEARCHERS","3.9","0.67"" x 9.80"" x 11.46""","Standard (Small)","0.6195 lbs"
"B08C51QSR3","ALLAURA - Steve Irwin Wig Crocodile Hunter Costume Wig Short Blonde Mullet Wig - Steve Irwin Costume Adult","ALLAURA","Clothing, Shoes & Jewelry","$19,342.26","774","$24.99","$7.17","$17.82","960,091","21","6","1","09/30/2020","Amazon","3.8","7.50"" x 0.60"" x 10.60""","Small standard-size","3.2 lbs"
"B08Q65XWSF","Allevyn Gentle Border Lite Dressing 4"" x 4"" (Box of 10)  Smith & Nephew # 66800835 (2 Pack (10 Count))","Allevyn","Health & Household","$131,112.00","2,428","$54.00","$11.87","$42.13","10,430","47","4","9","01/04/2020","MedsMed","4.5","9.02"" x 6.22"" x 2.36""","Large standard-size","7.05 lbs"
"B0CPV495CN","ALOHA Organic Plant Based Protein Bars  Maple Sea Salt  1.98-Ounce Bars (Pack of 12)","ALOHA","Grocery & Gourmet Food","$699,684.91","21,209","$32.99","$10.09","$22.90","41","49","6","1","02/28/2023","Amazon","4.2","6.34"" x 5.67"" x 2.05""","Large standard-size","1.49 lbs"
