"PK","SK","asin","brand","category","competition","date_first_available","dominant_category","last_updated","niche_score","opportunity","price","price_monthly_avg","rating","reviews_number","search_trend_30_day","search_trend_90_day","search_volume_monthly_total","seasonality","seasonality_peak_month","units_sold_monthly_avg"
"OPP#justin timberlake shirt","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 05, 2024""","10","justin timberlake shirt","","$21.30","","","534%","270%","""12,547""","Low","No Peak Month","""3,627"""
"OPP#ulees gold","OPPORTUNITY","","","","Very Low","","Health & Household","""Feb 06, 2024""","10","ulees gold","","$17.46","","","0%","0%","450","Medium","August","""30,625"""
"OPP#the cranberries shirt","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 06, 2024""","10","the cranberries shirt","","$19.25","","","'-13%","35%","427","Low","No Peak Month","""7,495"""
"OPP#rocawear jeans for men","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 05, 2024""","10","rocawear jeans for men","","$32.62","","","'-47%","28%","637","Very High","December","""4,353"""
"OPP#capri sun strawberry kiwi","OPPORTUNITY","","","","Very Low","","Grocery & Gourmet Food","""Feb 04, 2024""","10","capri sun strawberry kiwi","","$10.27","","","0%","'-40%","450","Very Low","No Peak Month","""2,439"""
"OPP#miracle perfume by lancome","OPPORTUNITY","","","","Very Low","","Beauty & Personal Care","""Feb 05, 2024""","10","miracle perfume by lancome","","$53.11","","","'-52%","73%","""1,780""","Very High","December","""3,560"""
"OPP#aaron donald jersey youth","OPPORTUNITY","","","","Very Low","","Sports & Outdoors","""Oct 31, 2023""","10","aaron donald jersey youth","","$66.99","","","0%","13%","450","Low","No Peak Month","""3,578"""
"OPP#ck one shock for men","OPPORTUNITY","","","","Very Low","","Beauty & Personal Care","""Feb 04, 2024""","10","ck one shock for men","","$38.88","","","'-28%","'-23%","369","High","December","""4,596"""
"OPP#trevor lawrence jersey youth","OPPORTUNITY","","","","Very Low","","Sports & Outdoors","""Feb 06, 2024""","9","trevor lawrence jersey youth","","$26.59","","","0%","0%","450","High","December","""3,826"""
"OPP#animal planet dvd","OPPORTUNITY","","","","Very Low","","Toys & Games","""Nov 20, 2023""","10","animal planet dvd","","$11.39","","","0%","13%","450","Low","No Peak Month","""7,014"""
"OPP#ck shock","OPPORTUNITY","","","","Very Low","","Beauty & Personal Care","""Feb 11, 2024""","10","ck shock","","$40.34","","","'-11%","3%","666","Very High","December","""4,583"""
"OPP#celestial seasonings tension tamer","OPPORTUNITY","","","","Very Low","","Grocery & Gourmet Food","""Feb 04, 2024""","10","celestial seasonings tension tamer","","$16.61","","","0%","0%","450","Very Low","No Peak Month","""3,016"""
"OPP#dark chocolate mocha almond kind bars","OPPORTUNITY","","","","Very Low","","Grocery & Gourmet Food","""Nov 21, 2023""","9","dark chocolate mocha almond kind bars","","$66.86","","","0%","13%","450","Very Low","No Peak Month","""3,642"""
"OPP#bing drink","OPPORTUNITY","","","","Very Low","","Grocery & Gourmet Food","""Feb 11, 2024""","10","bing drink","","$37.60","","","0%","'-12%","450","Medium","November","""2,666"""
"OPP#crawling eye","OPPORTUNITY","","","","Very Low","","Toys & Games","""Feb 04, 2024""","9","crawling eye","","$53.91","","","0%","0%","450","High","December","""13,318"""
"OPP#nyc nail polish","OPPORTUNITY","","","","Very Low","","Beauty & Personal Care","""Feb 05, 2024""","10","nyc nail polish","","$8.58","","","0%","0%","450","Medium","July","""6,104"""
"OPP#the pull of the moon by elizabeth berg","OPPORTUNITY","","","","Very Low","","Health & Household","""Feb 06, 2024""","10","the pull of the moon by elizabeth berg","","$19.90","","","0%","0%","450","Very Low","No Peak Month","""3,532"""
"OPP#burberry cologne for men touch","OPPORTUNITY","","","","Very Low","","Beauty & Personal Care","""Feb 04, 2024""","10","burberry cologne for men touch","","$59.15","","","0%","0%","450","Very High","December","""4,909"""
"OPP#lacrosse sweatshirts","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 05, 2024""","10","lacrosse sweatshirts","","$28.79","","","0%","0%","450","Very High","December","""2,501"""
"OPP#the crow bluray","OPPORTUNITY","","","","Very Low","","Home & Kitchen","""Feb 06, 2024""","9","the crow bluray","","$18.49","","","0%","0%","450","Very Low","No Peak Month","""3,146"""
"OPP#can am hoodie","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 04, 2024""","10","can am hoodie","","$22.12","","","0%","0%","450","Very High","December","""9,200"""
"OPP#trucker shirt","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 06, 2024""","10","trucker shirt","","$20.14","","","'-69%","29%","531","Very High","December","""4,710"""
"OPP#angy","OPPORTUNITY","","","","Very Low","","Baby","""Nov 20, 2023""","10","angy","","$29.58","","","0%","13%","450","Low","No Peak Month","""6,999"""
"OPP#resmed airsense 10 heated tubing","OPPORTUNITY","","","","Very Low","","Health & Household","""Feb 11, 2024""","10","resmed airsense 10 heated tubing","","$34.31","","","27%","26%","""1,464""","High","December","""3,169"""
"OPP#49ers fitted hats for men","OPPORTUNITY","","","","Very Low","","Sports & Outdoors","""Feb 10, 2024""","10","49ers fitted hats for men","","$38.39","","","0%","0%","777","Very Low","No Peak Month","""3,324"""
"OPP#islide","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 05, 2024""","9","islide","","$24.04","","","0%","0%","450","Low","No Peak Month","""8,409"""
"OPP#little girls softball cleats","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 11, 2024""","9","little girls softball cleats","","$22.18","","","0%","0%","""1,158""","High","March","""4,532"""
"OPP#spring valley ashwagandha","OPPORTUNITY","","","","Very Low","","Health & Household","""Feb 11, 2024""","9","spring valley ashwagandha","","$21.35","","","29%","'-25%","763","Very Low","No Peak Month","""4,883"""
"OPP#cicaplast","OPPORTUNITY","","","","Very Low","","Beauty & Personal Care","""Feb 11, 2024""","10","cicaplast","","$21.98","","","60%","32%","""15,037""","Low","No Peak Month","""5,281"""
"OPP#sota clothing","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 06, 2024""","10","sota clothing","","$25.76","","","0%","0%","450","Very High","December","""5,614"""
"OPP#tunes for bears to dance to","OPPORTUNITY","","","","Very Low","","Toys & Games","""Dec 05, 2023""","10","tunes for bears to dance to","","$22.79","","","0%","6%","450","Medium","June","""2,778"""
"OPP#star fruit","OPPORTUNITY","","","","Very Low","","Grocery & Gourmet Food","""Feb 09, 2024""","10","star fruit","","$18.60","","","'-10%","33%","""1,130""","Very High","December","""4,780"""
"OPP#dick shirt","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 04, 2024""","10","dick shirt","","$17.78","","","0%","44%","450","Very High","December","""2,819"""
"OPP#cheer shirts","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 11, 2024""","10","cheer shirts","","$19.89","","","30%","'-29%","""2,220""","Very Low","No Peak Month","""4,504"""
"OPP#bally shoes for men","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 11, 2024""","10","bally shoes for men","","$32.28","","","'-22%","58%","""4,565""","Low","No Peak Month","""2,484"""
"OPP#ariana grande clothes","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Feb 04, 2024""","10","ariana grande clothes","","$30.20","","","0%","0%","450","High","December","""3,625"""
"OPP#bee mo","OPPORTUNITY","","","","Very Low","","""Clothing, Shoes & Jewelry""","""Nov 21, 2023""","10","bee mo","","$14.65","","","0%","13%","450","Medium","March","""3,234"""
"OPP#buzz lightyear star command","OPPORTUNITY","","","","Very Low","","Toys & Games","""Nov 21, 2023""","10","buzz lightyear star command","","$51.18","","","0%","13%","450","Very Low","No Peak Month","""4,327"""
"OPP#dr. marty's nature's blend freeze dried dog food","OPPORTUNITY","","","","Very Low","","Pet Supplies","""Feb 04, 2024""","9","dr. marty's nature's blend freeze dried dog food","","$37.27","","","46%","'-14%","""3,660""","Very Low","No Peak Month","""4,218"""
"OPP#tupperware measuring spoons","OPPORTUNITY","","","","Very Low","","Kitchen & Dining","""Feb 06, 2024""","10","tupperware measuring spoons","","$32.27","","","'-28%","57%","700","Very High","December","""3,178"""
