opportunity,dominant_category,niche_score,units_sold_monthly_avg,price_monthly_avg,search_volume_monthly_total,search_trend_30-day,search_trend_90-day,competition,seasonality,seasonality_peak_month,last_updated
env,Industrial & Scientific,10,"7,804",$32.84,450,0%,0%,Very Low,Very Low,No Peak Month,"Feb 04, 2024"
hudson,"Clothing, Shoes & Jewelry",10,"6,350",$23.63,450,0%,0%,Very Low,Very Low,No Peak Month,"Feb 12, 2024"
49ers fitted hats for men,Sports & Outdoors,10,"3,324",$38.39,777,0%,0%,Very Low,Very Low,No Peak Month,"Feb 10, 2024"
dunkin decaf ground coffee,Grocery & Gourmet Food,9,"8,421",$23.75,"1,161",14%,11%,Very Low,Very Low,No Peak Month,"Feb 12, 2024"
instagramm,Toys & Games,9,"9,276",$48.90,450,0%,0%,Very Low,Very Low,No Peak Month,"Feb 13, 2024"
a boy like you frank murphy,Pet Supplies,9,"6,256",$39.08,450,0%,13%,Very Low,Very Low,No Peak Month,"Nov 20, 2023"
nac 600 mg now,Health & Household,9,"6,625",$22.65,450,0%,0%,Very Low,Very Low,No Peak Month,"Dec 25, 2023"
rock and roll jeans for women,"Clothing, Shoes & Jewelry",9,"4,920",$34.29,645,-38%,22%,Very Low,Very Low,No Peak Month,"Feb 05, 2024"
tommy john bra,"Clothing, Shoes & Jewelry",9,"3,350",$42.17,675,23%,22%,Very Low,Very Low,No Peak Month,"Feb 06, 2024"
swan cake flour,Grocery & Gourmet Food,9,"3,618",$22.67,584,8%,14%,Very Low,Very Low,No Peak Month,"Feb 06, 2024"
now nac supplement,Health & Household,9,"12,406",$44.85,324,0%,0%,Very Low,Very Low,No Peak Month,"Feb 11, 2024"
choosefi,Baby,9,"5,038",$32.66,450,0%,13%,Very Low,Very Low,No Peak Month,"Nov 21, 2023"
drew house hoodie,"Clothing, Shoes & Jewelry",9,"10,518",$29.56,936,-10%,1%,Very Low,Very Low,No Peak Month,"Feb 11, 2024"
adrenalina,Grocery & Gourmet Food,9,"10,885",$44.42,450,0%,0%,Very Low,Very Low,No Peak Month,"Feb 03, 2024"
31257,Office Products,9,"7,115",$30.96,450,0%,13%,Very Low,Very Low,No Peak Month,"Nov 20, 2023"
ear sleep,Health & Household,9,"4,087",$25.19,450,0%,13%,Very Low,Very Low,No Peak Month,"Nov 21, 2023"
christy hoodie,"Clothing, Shoes & Jewelry",9,"7,140",$33.10,450,0%,13%,Very Low,Very Low,No Peak Month,"Nov 21, 2023"
abercrombie shirts for men,"Clothing, Shoes & Jewelry",9,"8,046",$20.05,450,0%,0%,Very Low,Very Low,No Peak Month,"Feb 03, 2024"
1907 water,Grocery & Gourmet Food,9,"6,547",$40.14,375,0%,0%,Very Low,Very Low,No Peak Month,"Feb 03, 2024"
izze sparkling water,Grocery & Gourmet Food,9,"5,375",$24.49,450,0%,7%,Very Low,Very Low,No Peak Month,"Nov 25, 2023"
dasani bottled water,Grocery & Gourmet Food,9,"2,813",$27.56,452,-10%,24%,Very Low,Very Low,No Peak Month,"Feb 04, 2024"
body armor 28 oz,Grocery & Gourmet Food,9,"6,010",$33.06,450,0%,0%,Very Low,Very Low,No Peak Month,"Nov 21, 2023"
white wide leg pants for women,"Clothing, Shoes & Jewelry",9,"4,877",$27.99,"11,497",14%,9%,Very Low,Very Low,No Peak Month,"Feb 13, 2024"
free tv stick,Electronics,9,"21,153",$29.39,450,0%,0%,Very Low,Very Low,No Peak Month,"Feb 04, 2024"
jp,Sports & Outdoors,9,"2,683",$22.89,450,0%,0%,Very Low,Very Low,No Peak Month,"Feb 13, 2024"
